Fornecedor;Codigo;Municipio;Data;NEM;Mov;Empenho;Nota Fiscal;Lote;           Validade;Quantidade;Valor
SMS-CRIST;312020;CRISTAIS;20/01/2021;2461656;1;NP;NP;202009013;28/09/2023;10;582
SMS-BHORIZ;310620;BELO HORIZONTE;21/01/2021;2463323;8;NP;NP;202009013;28/09/2023;3594;209170,8
SMS-CDANTA;311980;CORREGO DANTA;22/01/2021;2464740;1;NP;NP;202010038;27/10/2023;10;582
SMS-ITAPEC;313350;ITAPECERICA;22/01/2021;2464481;1;NP;NP;202010038;27/10/2023;134;7798,8
SMS-IPIACU;313140;IPIACU;30/01/2021;2476228;1;NP;NP;202010038;27/10/2023;4;232800
SMS-MAMINA;314280;MONTE ALEGRE DE MINAS;01/02/2021;2477772;1;NP;NP;202010031;21/10/2023;106;6169,2
SMS-CAPITO;311280;CAPITOLIO;03/02/2021;2482412;1;NP;NP;202010038;27/10/2023;2;116,4
GRS-BARBAC;310560;BARBACENA;02/03/2021;2527606;32;NP;NP;202010038;27/10/2023;22;1280,4
SMS-IPATIN;313130;IPATINGA;03/03/2021;2530218;8;NP;NP;202010038;27/10/2023;5;291
SMS-BCOCAI;310540;BARAO DE COCAIS;08/03/2021;2540689;1;NP;NP;4120Z001;29/03/2021;140;4158
SMS-BCOCAI;310540;BARAO DE COCAIS;08/03/2021;2540689;1;NP;NP;210039;28/02/2022;40;2328
SMS-TUPACI;316960;TUPACIGUARA;08/03/2021;2539090;1;NP;NP;210047;28/02/2022;110;6402
SMS-URUMIN;317047;URUANA DE MINAS;08/03/2021;2538783;8;NP;NP;210018A;30/11/2021;60;3492
SMS-GUANHA;312800;GUANHAES;15/03/2021;2555161;1;NP;NP;210039;28/02/2022;50;2910
SMS-RCOSTA;315420;RESENDE COSTA;17/03/2021;2559743;1;NP;NP;210047;28/02/2022;100;5820
SMS-BARROS;310590;BARROSO;19/03/2021;2564954;1;NP;NP;210055;28/02/2022;10;582
SMS-BSUCES;310800;BOM SUCESSO;19/03/2021;2563675;1;NP;NP;210055;28/02/2022;10;582
SMS-CBMINA;311520;CONCEICAO DA BARRA DE MINAS;19/03/2021;2563665;1;NP;NP;210055;28/02/2022;10;582
SMS-CXCHAV;311970;CORONEL XAVIER CHAVES;19/03/2021;2564847;1;NP;NP;210055;28/02/2022;10;582
SMS-DERIOS;312140;DESTERRO DE ENTRE RIOS;19/03/2021;2564085;1;NP;NP;210055;28/02/2022;10;582
SMS-ERMINA;312390;ENTRE RIOS DE MINAS;19/03/2021;2564180;1;NP;NP;210055;28/02/2022;10;582
SMS-MCARME;314310;MONTE CARMELO;19/03/2021;2564928;1;NP;NP;210055;01/02/2022;400;23280
SMS-IBITUR;313000;IBITURUNA;23/03/2021;2570760;1;NP;NP;210055;28/02/2022;10;582
SMS-DCAMPO;312300;DORES DE CAMPOS;25/03/2021;2577965;1;NP;NP;210055;28/02/2022;10;582
SMS-DCAMPO;312300;DORES DE CAMPOS;25/03/2021;2577971;1;NP;NP;210047;28/02/2022;0;0
SMS-PMCRUZ;314915;PEDRAS DE MARIA DA CRUZ;31/03/2021;2588939;32;NP;NP;212VCD001ZVA;20/08/2021;160;3179,2
SMS-PMCRUZ;314915;PEDRAS DE MARIA DA CRUZ;31/03/2021;2588912;32;NP;NP;CTMAV506;31/05/2021;1100;23881
SMS-MIRAVA;314225;MIRAVANIA;07/04/2021;2605844;32;NP;NP;210055;28/02/2022;110;6402
SMS-LUISBU;313867;LUISBURGO;12/04/2021;2620337;44;NP;9593177;210138;31/03/2022;50;2910
SMS-LUISBU;313867;LUISBURGO;12/04/2021;2620337;44;NP;9593177;213VCD006W;06/09/2021;20;397,4
SMS-MANHUM;313950;MANHUMIRIM;12/04/2021;2620313;44;NP;9593149;210138;31/03/2022;160;9312
SMS-MANHUM;313950;MANHUMIRIM;12/04/2021;2620313;44;NP;9593149;213VCD006W;06/09/2021;120;2384,4
SMS-MATIPO;314090;MATIPO;12/04/2021;2620328;44;NP;9593074;210138;31/03/2022;120;6984
SMS-MATIPO;314090;MATIPO;12/04/2021;2620328;44;NP;9593074;213VCD006W;06/09/2021;60;1192,2
SMS-REDUTO;315415;REDUTO;12/04/2021;2620260;44;NP;9593228;210138;31/03/2022;50;2910
SMS-REDUTO;315415;REDUTO;12/04/2021;2620260;44;NP;9593228;213VCD006W;06/09/2021;25;496,75
SMS-SJMANH;316255;SAO JOAO DO MANHUACU;12/04/2021;2620287;44;NP;NP;210138;31/03/2022;70;4074
SMS-SJMANH;316255;SAO JOAO DO MANHUACU;12/04/2021;2620287;44;NP;NP;213VCD006W;06/09/2021;45;894,15
SMS-PMCRUZ;314915;PEDRAS DE MARIA DA CRUZ;14/04/2021;2625105;1;NP;NP;212VCD001ZVA;20/08/2021;1230;24440,1
SMS-PMCRUZ;314915;PEDRAS DE MARIA DA CRUZ;14/04/2021;2625105;1;NP;NP;210087;31/03/2022;220;12804
